Brand_name,Price,Discount_item_clean,Discounted_Price_clean,Ratings_clean,Shades_clean
Praush Luxe,850.0,15.0,723,1263.0,9.0
Swiss Beauty,229.0,20.0,183,3528.0,6.0
Clinique Almost,,,2300,44.0,
Typsy Beauty,1200.0,20.0,960,116.0,8.0
Renee Cosmetics,250.0,26.0,185,105.0,2.0
Clinique Almost,,,2300,44.0,
Typsy Beauty,1200.0,20.0,960,116.0,8.0
Renee Cosmetics,250.0,26.0,185,105.0,2.0
The Body,1295.0,40.0,777,144.0,4.0
M.A.C Lipglass,,,2200,540.0,3.0
Lakme Xtraordin,699.0,15.0,594,419.0,8.0
Swiss Beauty,249.0,20.0,199,2173.0,
Maybelline New,,,699,1828.0,1.0
Coloressence Lipstay,275.0,10.0,248,376.0,24.0
Makeup Revolution,499.0,15.0,424,2420.0,4.0
Too Faced,,,2400,4.0,7.0
SUGAR Matte,599.0,40.0,359,1895.0,6.0
Milani Color,1250.0,5.0,1188,1050.0,15.0
Kay Beauty,,,799,2.0,6.0
Benefit Cosmetics,,,2850,11.0,11.0
NARS Air,,,2500,12.0,9.0
Huda Beauty,,,900,353.0,3.0
Charlotte Tilbury,,,3450,98.0,5.0
SUGAR POP,249.0,15.0,212,3920.0,3.0
Clinique Pop,,,2300,244.0,
Just Herbs,695.0,27.0,507,4582.0,7.0
SUGAR Drop,599.0,10.0,539,54.0,7.0
MyGlamm Super,699.0,25.0,524,225.0,2.0
Estee Lauder,,,3700,93.0,10.0
Bobbi Brown,,,4100,58.0,9.0
Ras Luxury,2290.0,25.0,1718,245.0,7.0
Daily Life,,,799,1514.0,17.0
M.A.C Powder,,,3100,653.0,22.0
PAC Timeless,695.0,10.0,626,1594.0,24.0
Anastasia Beverly,2200.0,40.0,1320,94.0,7.0
SUGAR Super,1096.0,25.0,822,220.0,
,699.0,15.0,594,871.0,15.0
ETUDE HOUSE,650.0,20.0,520,46.0,3.0
Charlotte Tilbury,,,3900,247.0,2.0
,,,999,1314.0,8.0
Focallure Color,895.0,10.0,806,10.0,4.0
Baked Beauty,900.0,47.0,477,63.0,
The Wellness,399.0,10.0,359,40.0,4.0
Too Faced,,,2400,710.0,14.0
Colorbar Take,999.0,18.0,819,650.0,12.0
Iba Pure,358.0,25.0,269,3902.0,15.0
Benefit Cosmetics,,,1950,546.0,
Insight Cosmetics,,,265,946.0,4.0
SUGAR Mettle,1249.0,40.0,749,803.0,5.0
SUGAR POP,499.0,40.0,299,1205.0,3.0
Bobbi Brown,,,4300,355.0,3.0
Huda Beauty,,,2050,4.0,
Miss Claire,145.0,20.0,116,7418.0,19.0
Colors Queen,349.0,37.0,220,690.0,27.0
Faces Canada,999.0,40.0,599,122.0,11.0
M.A.C MACximal,,,2550,,
SUGAR La,1197.0,33.0,802,473.0,2.0
Makeup Revolution,749.0,10.0,674,6.0,13.0
Insight Cosmetics,,,235,555.0,24.0
Revlon ColorStay,1300.0,20.0,1040,738.0,8.0
LoveChild Masaba,1200.0,12.0,1056,4.0,8.0
PIXI Hello,,,875,102.0,
Benefit Cosmetics,,,2450,211.0,
Miss Claire,125.0,20.0,100,6891.0,12.0
Urban Decay,,,2900,44.0,10.0
DIAM BEAUTY,,,849,105.0,4.0
KIRO Lush,800.0,20.0,640,953.0,11.0
Faces Canada,599.0,40.0,359,777.0,9.0
MARS Edge,790.0,5.0,751,60.0,
Revlon ColorStay,1499.0,30.0,1049,7.0,12.0
Recode Lip,1695.0,10.0,1526,275.0,
PAC Lip,225.0,5.0,214,3466.0,5.0
IBA Must,5516.0,35.0,3585,442.0,
M.A.C Prep,,,2300,396.0,
Blue Heaven,275.0,20.0,220,790.0,9.0
Nykaa Cosmetics,599.0,20.0,479,39.0,4.0
Clinique Pop,,,2750,,
KIRO Glossfinity,875.0,20.0,700,69.0,8.0
Just Herbs,295.0,22.0,230,1280.0,5.0
Benefit Cosmetics,,,2450,186.0,
Nykaa Cosmetics,1350.0,30.0,945,77834.0,
TONYMOLY Get,,,1440,2.0,10.0
Mila Beaut,229.0,10.0,206,19.0,4.0
Simply Nam,1099.0,15.0,934,11.0,7.0
Daily Life,,,899,737.0,13.0
STAZE Cheek,399.0,18.0,327,178.0,4.0
Nykaa Cosmetics,499.0,25.0,374,18513.0,8.0
Color Chemistry,849.0,20.0,679,268.0,12.0
Nudestix Mini,,,1500,288.0,6.0
Charlotte Tilbury,,,3200,14.0,
Colorbar Powerkiss,799.0,15.0,679,23.0,8.0
Lancome L',3500.0,10.0,3150,96.0,3.0
Armani Lip,,,3500,,8.0
Focallure FA,675.0,10.0,608,7.0,5.0
Love Earth,659.0,55.0,299,22.0,9.0
LoveChild Masaba,800.0,15.0,680,17.0,6.0
MyGlamm Lit,,,375,728.0,25.0
NYX Professional,,,999,111.0,6.0
Maybelline New,2796.0,30.0,1957,111828.0,
Too Faced,,,1800,28.0,6.0
Anastasia Beverly,2600.0,40.0,1560,112.0,3.0
